Country Name,Country Code,Currency Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,AUS,AUD,1.365519,1.348412,1.32855,1.312794,1.301014,1.310865,1.312182,1.308112,1.3003,1.29695,1.311473,1.326806,1.33649,1.353924,1.366397,1.388356,1.404001,1.427582,1.479073,1.441497,1.502766,1.511052,1.540115,1.447123,1.452489,1.473691,1.450156,1.472981,1.439831,1.442175
Austria,AUT,L-ATS,0.922246,0.924566,0.935415,0.938959,0.94254,0.939929,0.936118,0.931829,0.922801,0.923906,0.907226,0.922769,0.899797,0.889084,0.878806,0.881939,0.861176,0.869233,0.854424,0.843111,0.841548,0.831374,0.813648,0.797081,0.798797,0.798813,0.776931,0.772542,0.740694,0.741282
Belgium,BEL,L-BEF,0.915381,0.910908,0.921111,0.935723,0.935347,0.927321,0.929897,0.927803,0.935637,0.931348,0.899723,0.892244,0.8733,0.877016,0.889063,0.891788,0.87544,0.880041,0.86694,0.849484,0.835934,0.831911,0.822137,0.806166,0.800214,0.799998,0.781011,0.773165,0.741613,0.735893
Brazil,BRA,BRL,1.156612354573E-05,5.75316224363912E-05,0.000600850891453,0.012333745545961,0.290164163611529,0.538560948283669,0.626496026615854,0.663477111605736,0.688401029552463,0.732962856591364,0.757127832861641,0.801815095766862,0.866669186155677,0.970763721260263,1.01859517201958,1.06123249540121,1.09983988778569,1.14003449101922,1.21645143733674,1.29553985523224,1.3884881942215,1.4732164144516,1.60570442676544,1.70127630233765,1.81320106983185,1.98881411552429,2.13308167457581,2.18155694007874,2.19964723385435,2.24738365412163
Bulgaria,BGR,BGN,0.000691142512551,0.002183017645493,0.003406010223142,0.005027071327609,0.008500484414643,0.01964678521653,0.038280396537517,0.398322689722708,0.518766693570531,0.525165651450965,0.535800162739335,0.555721047231324,0.558289278484021,0.560403671835836,0.580729354047424,0.596499287574313,0.619052887102551,0.657230263313913,0.677681307852859,0.69268916502569,0.676421030341531,0.70107489210081,0.692813663495065,0.680007502687261,0.661227940702315,0.678701287498113,0.666665740830753,0.674128099993839,0.660981412834871,0.678323365790349
Canada,CAN,CAD,1.241965,1.237998,1.228098,1.215102,1.20701,1.208841,1.207821,1.200974,1.185448,1.19081,1.227563,1.221139,1.229333,1.226338,1.233195,1.213644,1.205778,1.212706,1.23439,1.201369,1.221371,1.239904,1.244607,1.224,1.230358,1.248042,1.207045,1.2083,1.178077,1.186223
China,CHN,CNY,1.69214795662555,1.74669877177483,1.8476527303559,2.07897795598088,2.45517335871818,2.73337562135814,2.85888199899767,2.85585174141003,2.79864259612348,2.72396538263361,2.71936444309188,2.71546938467345,2.68928114628582,2.70897958411223,2.82135089552396,2.84293348041717,2.86777784182121,3.00918649185067,3.18187140234463,3.15118128997009,3.32923216124756,3.5244677066803,3.56096792221069,3.66364479064941,3.75884985923767,3.87069725990295,3.98883724212646,4.18381118774414,4.22725793736464,4.20011786862713
Croatia,HRV,HRK,,,,,,3.19085520460766,3.25931243044878,3.42508599981586,3.65430475699154,3.74634647682551,3.78535844168784,3.87218250422004,3.87935118476809,3.98811666379034,4.01140637775961,4.09349154096857,3.91932030721477,3.87023232650609,3.87241141190072,3.83975011882936,3.87055691684061,3.75264064165542,3.66412298327522,3.57511704913539,3.5434737437933,3.51238255443651,3.38201841487633,3.31408251134582,3.20054157793727,3.17740052566017
Cyprus,CYP,L-BEF,0.56548495575324,0.568254081048279,0.589158108834588,0.603165475668671,0.621682936165133,0.691714103403691,0.698385137488426,0.702325133707743,0.711273828641799,0.720750507607851,0.716790381773195,0.711531459967564,0.710507593826584,0.737286227328386,0.734248569092396,0.722889336543343,0.71078276095348,0.695077587092796,0.693818424462497,0.681581071803113,0.69960447106513,0.698623213793206,0.70684873825424,0.687316130056198,0.679708670387699,0.66314132286657,0.622328384740373,0.613226184038497,0.589957146988459,0.591076820734229
Czech Republic,CZE,CZK,5.539975,7.298217,8.017368,9.47718,10.424254,11.179863,12.101799,12.907649,13.987701,14.22935,14.326189,14.320106,14.458321,14.19064,14.438093,14.562493,14.433858,14.276106,13.916713,13.628403,13.661572,13.345305,13.297699,12.785271,12.70321,12.93798,12.576343,12.385437,11.993455,12.163287
