Country Name,Country Code,Currency Code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australia,AUS,AUD,4.375,5.225,6.125,6.4,6.5,6.6,6.975,7.175,7.225,7.375,7.65,7.825,7.8,7.85,8.075,8.35,8.625,8.925,9.15,9.45,9.775,10.375,11,12,13.85,15.95,18.075,20.3,21.925,23.925,26.35,28.85,32.125,35.35,36.75,39.225,42.775,46.425,49.775,53.525,57.45,59.275,59.875,60.925,62.125,65,66.7,66.85,67.425,68.425,71.475,74.625,76.85,78.95,80.8,82.975,85.925,87.925,91.75,93.375,96.1,99.275,101.025,103.5,106.075,107.675,109.05,111.175,113.3,115.125,116.1,
Brazil,BRA,BRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11251333333333E-08,2.24421833333333E-08,4.50063083333333E-08,1.05777283333333E-07,3.08998433333333E-07,1.00730295833333E-06,2.489477E-06,8.17385325E-06,5.959675E-05,0.000912261591667,0.0278032955,0.14813225,1.55829505833333,31.5925746666667,687.419166666667,1141.16416666667,1320.985,1412.48583333333,1457.61583333333,1528.43333333333,1636.09833333333,1748.01333333333,1895.72333333333,2174.6775,2318.145,2477.39083333333,2581.03416666667,2675.01666666667,2826.92,2965.10083333333,3114.50416666667,3321.19666666667,3500.6575,3717.84916666667,3953.15333333333,4310.11916666667,4686.78666666667,4848.31083333333,5025.99416666667,5213.61333333333,5381.0625,
Canada,CAN,CAD,12.4833333333333,13.8,14.1583333333333,14.0166666666667,14.1083333333333,14.1333333333333,14.325,14.8,15.15,15.3333333333333,15.5416666666667,15.7,15.8666666666667,16.125,16.4333333333333,16.8166666666667,17.4583333333333,18.0833333333333,18.8166666666667,19.675,20.3333333333333,20.8833333333333,21.925,23.5666666666667,26.1583333333333,28.95,31.1333333333333,33.6166666666667,36.6333333333333,39.9833333333333,44.0333333333333,49.525,54.8583333333333,58.075,60.575,62.975,65.6166666666667,68.475,71.2333333333333,74.7833333333333,78.3583333333333,82.7666666666667,84,85.5666666666667,85.7083333333333,87.55,88.925,90.3666666666667,91.2666666666667,92.85,95.375,97.7833333333333,99.9916666666667,102.75,104.658333333333,106.975,109.116666666667,111.45,114.091666666667,114.433333333333,116.466666666667,119.858333333333,121.675,122.816666666667,125.158333333333,126.566666666667,128.375,130.425,133.383333333333,135.983333333333,136.958333333333,
Switzerland,CHE,CHF,,,,,,23.1942975,23.5448241666667,24.0073358333333,24.4494508333333,24.2906458333333,24.6401408333333,25.0948475,26.1779408333333,27.0785175,27.9126858333333,28.8657591666667,30.2443833333333,31.4557291666667,32.2093541666667,33.0110533333333,34.2047291666667,36.4530833333333,38.8808591666667,42.2847525,46.4148791666667,49.5230958333333,50.3726533333333,51.0254816666667,51.5504275,53.4308025,55.5800558333333,59.1873725,62.5344791666667,64.3791416666667,66.266375,68.5428833333333,69.0571666666667,70.0518166666667,71.3635083333333,73.6152333333333,77.5933666666667,82.1400166666667,85.4560166666667,88.2697666666667,89.02195,90.6241666666667,91.359725,91.8349916666667,91.851475,92.5922083333333,94.035275,94.9653,95.57565,96.1857083333333,96.9579666666667,98.0942666666667,99.1336,99.8595916666667,102.282233333333,101.7908,102.491358333333,102.728458333333,102.017016666667,101.795325,101.781858333333,100.617575,100.180283333333,100.715041666667,101.034083333333,101.400733333333,100.664691666667,
"China, P.R.: Mainland",CHN,CNY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8208658333333,49.4802091666667,57.7885425,62.5925966666667,64.3367175,63.839275,62.944585,63.1635133333333,63.6177383333333,63.152075,63.86418,66.3067533333333,67.4846358333333,68.5977483333333,71.9019425,76.1623133333333,75.6077258333333,78.0085166666667,82.3410308333333,84.4979741666667,86.7127083333333,88.3790158333333,89.6490433333333,91.4420258333333,92.8988216666667,94.8262775,97.5755133333333,99.9362766666667,
Czech Rep.,CZE,CZK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4515625,36.049305,43.5522575,47.9246558333333,52.2333333333333,56.8083333333333,61.6916666666667,68.2916666666667,69.75,72.3833333333333,75.7583333333333,77.2,77.2916666666667,79.425,80.9,82.95,85.3166666666667,90.7416666666667,91.6666666666667,93.0166666666667,94.8,97.9166666666667,99.325,99.6666666666667,99.975,100.658333333333,103.125,105.341666666667,108.341666666667,111.766666666667,
Denmark,DNK,DKK,,,,,,,,,,,,,,,,,,11.4254175,12.3400458333333,12.7704566666667,13.6024316666667,14.4008766666667,15.3459141666667,16.7736033333333,19.3358058333333,21.1931283333333,23.1026908333333,25.6260216666667,28.243375,30.95786,34.767325,38.8585308333333,42.791335,45.7474583333333,48.62533,50.9003883333333,52.7725983333333,54.8940533333333,57.3835716666667,60.1223308333333,61.7105241666667,63.1885858333333,64.5130466666667,65.3245283333333,66.6258025,68.0140233333333,69.4602041666667,70.9759416666667,72.28591,74.0914641666667,76.2425483333333,78.025,79.9166666666667,81.575,82.5166666666667,84.0166666666667,85.6333333333333,87.0833333333333,90.0583333333333,91.2333333333333,93.3416666666667,95.9166666666667,98.2166666666667,98.9916666666667,99.55,100,100.25,101.4,102.225,103,103.433333333333,
United Kingdom,GBR,GBP,,,,,,4.96350908333333,5.2107145,5.40305783333333,5.564762,5.59710308333333,5.65327425,5.84817066666667,6.09358908333333,6.21659083333333,6.42059366666667,6.72709833333333,6.99010216666667,7.16360458333333,7.50010975,7.9086155,8.41212291666667,9.20663425,9.85764441666667,10.7641566666667,12.4911591666667,15.51493,18.0841283333333,20.9487025,22.6797233333333,25.7236325,30.3451208333333,33.9490975,36.8683341666667,38.5677075,40.48094,42.9386975,44.4104683333333,46.2530241666667,48.175,50.95,55.0583333333333,59.1666666666667,61.8833333333333,63.4666666666667,64.875,66.625,68.525,70.0333333333333,71.3083333333333,72.5583333333333,73.4166666666667,74.5416666666667,75.675,76.7166666666667,77.7833333333333,79.4083333333333,81.3583333333333,83.3,86.2333333333333,87.925,90.1166666666667,93.5916666666667,96,98.2,99.625,99.9916666666667,101,103.583333333333,105.958333333333,107.8,108.866666666667,
"China, P.R.: Hong Kong",HKG,HKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.2333333333333,74.7083333333333,76.225,79.5,79.9583333333333,81.8083333333333,86.125,89.625,93.5,97.65,100.575,103,104.525,107.041666666667,110.108333333333,110.466666666667,
"Croatia, Rep. of",HRV,HRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.9416666666667,82.4916666666667,84.8833333333333,90.0416666666667,92.1833333333333,93.1333333333333,95.25,98.5,100.683333333333,100.466666666667,100,98.875,99.9916666666667,101.491666666667,102.275,,
